標題,連結,內文,來源,時間
熱帶風暴摩羯侵襲 菲律賓多處淹水已有傷亡通報,https://news.google.com/read/CBMiWkFVX3lxTFBnbkJkXzJlc1JDVU9EQUFtTzRnMUJmd251UmpXN1htVjYxOW0zLTZQb25GTHo5ZEdHLV9Ed3VVc0x3ZzF3cVd3ZWwxNFFNdjROYnJJenZic2tfUdIBX0FVX3lxTFBGeURoa0xwMjktM1NxR1IxeDZGem8wR0V3dEJydi1kNXM4VUVxeWlwRE4yZDVPYXcxRWgtNmtvMVFFN3hmc3NIeGR3aVRYVFJUMkxDNktnSDdTUmFES3Mw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"熱帶風暴摩羯（Yagi）今天侵襲菲律賓呂宋島，迄今有8省多處發布2號警報；首都大馬尼拉地區停課，部分國內班機、渡船也停止營運，救災單位已接到民眾傷亡通報。
日前在菲律賓東部成形的低氣壓，昨天晚間11時增強為熱帶風暴（Tropical Storm），國際名稱摩羯，菲律賓氣象局（PAGASA）今天上午8時艸對呂宋島南部、東部及北部的8多片區域發布2號警報，河流水位因大雨高漲，低窪地區發生淹水。
首都大馬尼拉地區和周邊省份則是處於1號警報，總統府馬拉坎南宮（Malacañang Palace）今晨宣布各級公私立學校停課；惡劣氣候迫使國內航班停飛、渡船停駛。
氣象局預測，明多羅島（Mindoro Island）及巴拉旺島（Palawan）北部今天的降雨量可能達到200公釐。
菲律賓熱帶風暴警報系統分為5級，1號警報指受影響地區在未來36小時內，風速可能介於每小時39至61公里；2號警報意指在未來24小時內，風速可能達每小時62至88公里。
3號警報指未來18小時內的風速，預測介於每小時89至117公里；4號警報指未來12小時內的風速，介於每小時118至184公里；5號警報的風速可能達每小時185公里以上。
菲律賓氣象局上午11時發布的通告顯示，摩羯中心位置在北緯15.5度、東經122.4度的海面上，以每小時15公里速度向北北西方行進，中心附近最大風速每小時75公里，瞬間最大風速可達每小時90公里。
菲律賓災難風險縮減暨管理委員會（NDRRMC）上午發布初步災情報告，中部維薩亞斯（Visayas）地區有10棟建築物倒塌，至少1處山區發生土石流。
NDRRMC並稱，接到2人因風災死亡、10人受傷的通報，但同時也表示數字尚待確認。",經濟日報,20 天前
奈及利亞大洪水逾20萬人流離失所170人死亡、蘇丹大雨大壩倒塌災情慘重| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5rLXpiQktQLVZSVzI2dWJuNDZnWl85NFh6UE91eWllOVNsYVJuNThJTDI4WERHVUpfLV96TE5aMUhISDRFVUtndTNSZmZiWjdZN2N5cUxkVVA5dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"綜合外媒報導，近日蘇丹因暴雨和潰壩引發的洪水，造成的死亡人數已上升至 132 人。據政府委員會表示，洪水摧毀了 10 個省份的 12,000 多座房屋，超過 30,000 個家庭受到影響。另外，奈及利亞也陷入大淹水。
8 月 26 日，聯合國緊急救援機構報告指出，蘇丹西北部紅海州的阿爾巴特大壩倒塌事故造成至少 30 人死亡。聯合國人道事務協調辦公室（OCHA）警告，已經飽受內戰困擾的蘇丹，許多人仍失蹤和流離失所，洪水遭成的死亡人數可能會進一步上升。
人道協調廳強調，通訊網絡的損壞使得準確資訊的收集變得困難。此外，受損的大壩是蘇丹港的主要淡水來源，其損壞將影響供水，進一步惡化紅海區域的人道主義。自 6 月以來的洪水已經導致超過 10 萬人流離失所，並加劇該國的內政破壞性的分裂。人道協調廳 7 月表示，蘇丹全國一半以上的人口仍面臨嚴重飢餓。
科學家指出，人為造成的氣候變化使極端天氣事件愈加頻繁，蘇丹是受氣候影響最嚴重的國家之一，面臨致命的降雨、洪水及乾旱。
與此同時，奈及利亞的洪水也造成了至少170人死亡，超過 20 萬人流離失所。國家緊急事務管理局（NEMA）表示，北部地區受災最為嚴重，但全國各地仍面臨風險。奈及利亞水文服務局（NIHSA）預警，來自鄰國的洪水有可能進一步影響該國，並敦促沿尼日河的州保持警惕。
根據最新數據，非洲洪災已造成近 2,000 人傷亡，並摧毀了超過 10 萬公頃的農地。人道協調廳的報告指出，該地區的災情仍在加劇，急需國際社會的關注與援助。
 
 
蘇丹內戰仍在持續中，街道殘破不勘   圖：美聯社／達志影像
非洲人口最多的奈及利亞連月降雨釀河水暴漲   圖：美聯社／達志影像",Newtalk新聞,8月28日
在地滯洪、科技預警 防洪有新招,https://news.google.com/read/CBMi8gFBVV95cUxQVTU2TkJpejcwWVU5TkVvOFE2djN6RjB0VEFTMm5XVUc5dzlnQkl4QTVPZEVwTTEyNjE0SEV2dVJQMXVUZzlTd1hSNHlZUktUaFNKcU5ZaEU0Y2VsZ0Y3Q0JLZExxTmJOaE1ZVFhRUlRDLWZ5ZWloMERXc2dzUk5OeXZCRFAwYW4tYTFLMWdWOWdsVGNBaEJrUERDa1JXNkNKNkpmX0N0bzJJM1BZd2t1SXdSbjVZUVMzS0dBX21taW1vUW5iRGtiOFdMMzliQ0ZLWkp6THpfdVpGejZEUlFvSkNmS1hnX0s3QlBzbjVJa2h2QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"防洪走向新階段，經濟部10日舉辦「2024台灣國際水週─國際論壇」，探討氣候變遷洪水災害加倍下，如何利用AI提前預警避災。水利署表示，在現有築堤防洪首道防線，強化第二道防線「在地滯洪」、第三道防線「科技提前預警」，能盡早疏散避免對人民造成傷害。
這場論壇聚集超過500位國內外關切水利議題專業人士，邀請包括日本河川情報中心理事長池內幸司、台大地理環境資源學系教授周素卿、聯合國教科文組織水環境教育學院教授Zoran Vojinovic等重量級講者。
池內幸司指出，日本因氣候變遷，未來洪水頻率預計將增加2到4倍，為應對此情況，日本政府致力於研發提供居民即時預警資訊，使民眾能夠在災害發生前準確及時撤離。
水利署長賴建信則說，除推動逕流分擔、出流管制等措施，提升土地承洪韌性，水利署並利用AI和大數據分析提升防災效率。未來將強化增設第二道防線及加速退水等策略，減少災害影響。
水利署官員說明，第一道防線就是傳統的築堤治水，第二道防線要推「在地滯洪」，再來是第三道防線「科技預警通報」。在地滯洪方式會把易淹地區周邊農田加高，作為暫時蓄洪空間，吸納洪水。其他像是西南部陸堤填的比較高，本就有陸堤效應，正跟公路局合作，要讓陸堤結合滯洪功能，減少淹水機率。另外，全國目前有2072部淹水感測器、8769支攝影機影像，即時監看AI辨識淹水資訊。
新北市政府10日也舉辦「2024新北市災害管理研討會」，由副市長朱惕之主持開幕儀式，會議邀請環境部長彭啟明、內政部次長馬士元及日本、韓國、新加坡等3國防救災專家，以「極端氣候下的韌性城市」為主題，分享各國實戰經驗與專題演講，透過充分交流，研討如何利用智能科技和創新防災策略，提升城市的抗災能力。
朱惕之表示，在極端的氣候之下，所面臨的災害類型相當多元，每個城市都會面臨到不同類型的災害，所以希望把城市災害搶救的相關經驗，藉由研討會交流與傳承。另外，在AI科技的應用上，怎樣用智慧化的科技去做災害的預防、處理及復原，都是城市整體災害防救非常重要的工作。",Yahoo奇摩新聞,11 天前
暴雨侵襲釀洪患 羅馬尼亞災情嚴重4死,https://news.google.com/read/CBMilgJBVV95cUxOTlJMU2NncGpudEZhR1JQbUNETDc2ZzFLY3RKeWJUckJtMDJjZ3NvVXRpbmN4MUlCQ29sVi1BVldIWTh1MmFralhmYVdIVFpkX2JDekV4Z2tGdXN6QUpTVXRwYVQ1RjZWVU1vQ2JjeFZ4aElxWWZlV3hNODdmQUxUVlRoUzg5NGpYb3E0eVRvZnJpNENVY2pSbV9lUC1OMy00emZxQ0VfMk9kSGh1TmlfOW9tT21aRDhYajY3d2psUUMtdDNBQm5Vc1dRUDlmbEduQ1BxY3QwRFRMREJJS3JWQ1Rwd3BucWM0X0xaN2tjT3NDalhGY1BUQWZaQzlzSk1EXzYyVUk0ZFEwMnRxQzZEWlNmcWlDQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"暴雨14號襲擊歐洲中部，當地面臨30年來最嚴重的洪災。其中，羅馬尼亞災情嚴重，目前已經造成4人死亡，洪水也造成當地的橋梁斷裂，不僅交通受阻，更導致5萬多戶斷電。捷克跟波蘭也出現災情，由於河流水位超過警戒線，當局也發布洪水警報疏散民眾。
國際中心／闕帝慈 編撰 責任編輯／陳盈真
更多台視新聞網報導
雨區再擴大！對流發展旺「19縣市大雨特報」 注意雷擊、強陣風
暴雨炸全台！阿里山逾10登山客受困 新北永和水淹小腿肚
暴雨狂轟！新北永和停車場慘淹「多車泡水」 民眾傻眼徵求抽水機",Yahoo奇摩新聞,7 天前
奈及利亞洪災沖垮監獄外牆 近300名囚犯越獄,https://news.google.com/read/CBMiWkFVX3lxTE9BZ0dhNVFmR0h4RVNpeVd0UkMyc2JDcXprbi1UYWVUZTJLSHZETmd3dXE1bEd2c2w4UUtWRHNJbG5VRFk1dXZoLVU3VWdwSEE1SEk3X0pCRk5wUdIBX0FVX3lxTE1wM2pLc3ROWmlpQ1dXOVFrOER6TklzbWw4QnAzSWhVZGpHLWRjbXEwbDdkRzJnY09UT2pqVFpBTHg0RkhKdEdEaTdfWmJxRjlGWDBXUDNfemZoXzZ5VUNF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"奈及利亞監獄當局今天表示，位於奈及利亞東北部的邁杜古利（Maiduguri）上週發生毀滅性洪水，沖垮一座監獄外牆，導致281名囚犯乘隙越獄。
路透社報導，奈及利亞矯治單位發言人阿布貝卡（Umar Abubakar）在聲明中指出，安全機構在追捕行動中抓獲7名逃犯。
阿布貝卡說：「洪水沖垮了這座監獄的外牆，包括中度安全拘留中心（Medium Security CustodialCentre）以及職員宿舍。」他表示，目前仍在捕捉其餘逃犯。
邁杜古利是波諾州（Borno State）的首府，波諾州的大壩上週因暴雨潰堤，釀成數十年以來最嚴重的洪災，更摧毀州立動物園，將鱷魚和蛇都沖進淹水的社區。
根據奈及利亞緊急應變機構統計，這場洪災已造成至少30人喪生，影響數百萬人，另有數十萬人被迫安置到避難營地。",經濟日報,6 天前
葡萄桑颱風登陸上海！創紀錄淹水景象曝光,https://news.google.com/read/CBMirAJBVV95cUxQalpIeTlVOTVacmp6c25mX3pidGhxS1VSenRDMFU2YWc3X0lBeGtXWjN5UDJmM3h6UVpuZmxsUjk1aldXeXhZVVFMcTZaYlJVVmR0UG16T1g5V2N1LUx5UDVubV91MWNiSU1uTE5GeTZIOUtVX05ZcVhPb05GNUNYUDYxRXJjQXEtOUxnVVNEZVBoQ09QOUlIeXBReFppRFNkYk9IQXg5SWFLTjhSMXd5Q193bHIxRGdTU1REUnBUNWNNN2JTSjNvbDBRRWVwdUd3VjItNTRLSGFWZTFLV1dtMFgwRTI1VTZ1Zkh2aGhsTnZWdm5rU1FsYW91cnNnVmZ3U0l3ZzVsR2ZSRm0tMlgwR09sMUVWZDdtY2hUZUFZOGM1Qjd4QU1hWnZFSXg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"[NOWnews今日新聞] 葡萄桑颱風19日傍晚至夜間先後登陸浙江和上海沿海，二次登陸上海奉賢區一帶時，夾帶瞬間強降雨，使得上海部分地區在短短6小時降下超過300毫米的雨量，打破當地測站紀錄。
葡萄桑颱風為上海帶來瞬間強降雨，中國官媒新華社提到，部分觀測站的雨量打破歷史記錄。上海自20日凌晨2時起雨勢漸大，截至9時，全市平均雨量為73.28毫米。在614個觀測站中，28個達到特大暴雨程度，123個達到大暴雨程度。
葡萄桑颱風帶來的降雨主要集中在上海奉賢、浦東、閔行等區域，最大雨量為奉賢四團楊家宅氣象觀測站的340.9毫米，浦東泥城公園氣象觀測站單一小時累積達116毫米，這兩個觀測站6小時累計雨量皆超過300毫米，打破測站紀錄。
上海在短短一周內遭遇兩個颱風侵襲，可說是相當罕見，貝碧佳颱風在上周才為上海帶來強大風雨，葡萄桑颱風風力雖不比貝碧佳，但雨量卻相當驚人，中國社群平台微博有許多上海民眾放上淹水災情狀況，可看到大眾交通運輸站外的民眾也受淹水所困，在上海游泳館站外，彷彿成為游泳池，街道一片汪洋。
更多 NOWnews 今日新聞 報導
葡萄桑颱風沒來仍躲不過雨彈！今起濕5天 雨勢最猛時間、位置曝
葡萄桑颱風將登陸中國！多地恐迎大暴雨 影響區與貝碧佳重疊
「葡萄桑」颱風一日狂奔千里水路不減速！中國預測明傍晚浙江登陸",Yahoo奇摩新聞,2 天前
北台灣7區淹水警戒 新北3區最嚴重 台北大安、信義也淪陷！,https://news.google.com/read/CBMiWkFVX3lxTE9xWHplWXpzTWVualNnazhTaENPdEQ2SmF5N2FPMGxQSE5zVG12RUw4T2dMeVdVaGlwQ1BWNDJqSnkxSVZESUNVdkFFWmJpZ1paT1BiV1oxWE5uZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"經濟部水利署今日下午1時40分發布最新淹水警戒通報，台北市、新北市及桃園市共7個地區面臨淹水威脅。其中，新北市瑞芳區、平溪區及樹林區已出現明顯積淹水情況，被列為一級警戒區。台北市大安區、信義區，以及新北市三峽區、桃園市大園區則被列為二級警戒區，顯示降雨影響範圍持續擴大。
根據水利署最新通報，北台灣多處地區因持續強降雨而面臨淹水風險。其中，新北市的情況最為嚴峻，瑞芳區、平溪區及樹林區已經出現明顯的積淹水現象，被列為一級警戒區。
與此同時，台北市大安區、信義區，新北市三峽區，以及桃園市大園區也被列入二級警戒區。這些地區雖然尚未出現嚴重淹水，但風險依然存在，居民應保持高度警覺。值得注意的是，台北市大安區和信義區是最新被納入警戒範圍的區域，顯示降雨影響範圍正在持續擴大。",Newtalk新聞,8 小時前
死亡人數1夜翻倍！摩羯颱風襲緬甸 昨113死、今增為236人喪生,https://news.google.com/read/CBMi6AJBVV95cUxPX1pIbTJ1SWp3cXdsVVZFZnVIRzBaOVEtUkV4ckdpTDZBeThMOGl4ZlNrRnlTUEF0RFRRamVrWEhPRlN3R3hCZURPM1ZCMU9xMExhNWVkb243QWVpRXo3T01Rcy1LUmlUWXRtRUlmdTYyRGVPWm1ySnBDLXdFd2hLU0VEcmJqbXE4eDBPUGNHeFowRm8tMGI3SHFacTBVQmRkX1lHc1NJOWVUbXBKN3ZIcGh5U2htcnpZLXZlZm82X1k0RlJxRmFsUWRKcnpSMWE0bldTQUpZWUlWT2xEdEtRcHBIa0hQZWhJYnNOSm1zbnowUUdVVnppRDBhOFV0VGRwOXBuRnJqb21lanpMTm5NOHJlS29ZeTl2R1pZT3Q3UG9qbDdzVGpRekNFTi1jaVFOMEtaMmRSNHVIazliN2JOelRKa1dQZ2xqM004WDZ0MEtfR05fcW43ZWZNVm1sMndGRWt3cTNsaU4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"摩羯颱風挾帶的大雨，上週起在泰、越、寮、緬甸等國造成洪水、土石流等災情，緬甸政府昨證實113人死亡，今天官媒公佈死亡人數一夜翻倍達236人。聯合國人道事務協調辦公室（OCHA）警告，緬甸死亡人數遠遠不止於此。
緬甸政府發言人紹敏通（Zaw Min Tun）昨（9/16）公布災情已造成113人死亡、64人失蹤、32萬人離家避難。官媒「緬甸新光（New Light of Myanmar)」今天指出至少236人死亡、77人失蹤。
聯合國人道事務協調辦公室表示，多個消息來源指出緬甸已「數百人」死亡、失蹤人數也遠高於官方數字，更有63.1萬人受災。
水患至少影響緬甸9個省邦，包括首都奈比多、曼德勒省（Mandalay）, 馬圭省（Magway ）、勃固省（Bago），以及撣邦（Shan）、克耶邦（Kayah）、克倫邦（Kayin）等。
緬甸軍政府素來拒絕外援，去年熱帶氣旋摩卡（Cyclone Mocha）襲擊孟加拉灣也不為所動；不過摩羯颱風讓軍政府不得不軟化，已向國際求援。聯合國人道事務協調辦公室指當地急需食物、飲水、衣物，但是大水導致多地斷聯斷網、道路不通，都將延誤救命物資送達。
然而獨立國際專家小組「緬甸特別諮詢委員會（Special Advisory Council for Myanmar，SAC-M）」警告，軍政府恐沒有意願，或沒有能力確保向大多數急需援助的人提供援助，更可能利用與國際人道主義機構的接觸，推進自己的軍事和政治議程，而犧牲緬甸人民的利益。
更多太報報導
抗生素濫用「超級細菌」肆虐 未來25年將多出近4000萬人死亡
秘魯馬丘比丘車禍 觀光巴士衝出路面至少20人傷、傷者包括中國遊客
離投票不到兩個月 川普正式推出加密幣事業",Yahoo奇摩新聞,5 天前
快訊》雨量暴增新北三地淹水警戒樹林區列一級地區| 生活,https://news.google.com/read/CBMiWkFVX3lxTE5ib2tBZnpHZ1VqUWg1QUR5XzFIY1UxVEJlYmJiN3JNZFNPR1dWMlB4X3ptRlp5a21DMDlkSUFNd01ES3Z4MFhURDhpYkJyakFVeEFYeTFLZWVNZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"近日降雨機率大增，經濟部水利署今（22）日中午12時針對新北市樹林區、三峽區、中和區三地發出淹水警戒，其中樹林區時雨量達68毫米，超過最高警戒值60毫米，已明顯積淹水，因此列為一級。
影響範圍以樹林區為主，包括東山里、東昇里、坡內里、南園里、圳福里、三龍里、樹東里、東陽里、三多里、三福里、玉泉里、圳生里、大同里、彭興里、東園里、金寮里、保安街三段、樹林工業區、中正路、光武街。
另外，三峽區、中和區時雨量約在50毫米，列為二級警戒區，若雨勢不變，未來2小時內會出現積淹水，呼籲民眾注意。
而在河川水位警戒上，二仁溪經高雄市(南雄橋)、高雄市(崇德橋)、臺南市(南雄橋)等地目前列為二級警戒，急水溪在台南市青葉橋流域列為三級。
至於水庫放流警戒，則有湖山水庫、白河水庫、德元埤水庫、曾文水庫、南化水庫、鏡面水庫、虎頭埤水庫、鹽水埤水庫執行中，請下游民眾及工作人員迅速離開河床，以免生危險。",Newtalk新聞,10 小時前
速報》新北市、桃園市、新竹縣大雷雨慎防溪水暴漲.淹水| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1Dbm9BNXVUR0xOSjFzb1FCSks4V0lkNXh3VERZSVA2TWNqZGhQU0hFakx1QUZtS3JDTElNQjlCOHlyUGk1NmhsVnJLUEhDSVpfUmVYQW1RUzBRdw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署於今(8)天清晨6時11分針對「新北市、桃園市、新竹縣」發布大雷雨即時訊息，持續時間至07時15分止，旺盛發展的對流常伴隨打雷、閃電與劇烈降雨，並可能出現較強陣風甚或伴隨冰雹發生，若發生於溪流河川上游易於下游出現溪(河)水暴漲，排水不良區域則易發生淹(積)水現象，強大雨勢威脅各項戶外活動並將造成能見度欠佳影響行車安全，山區易發生坍方、落石、土石流。
大雷雨即時訊息示警區域
新北市 林口區
桃園市 中壢區、楊梅區、蘆竹區、大園區、新屋區、觀音區
新竹縣 湖口鄉、新豐鄉",Newtalk新聞,14 天前
摩羯外圍環流發威！台南6區列一級淹水警戒水淹半個輪胎高| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9iQnBIc2FGWVI5QVFpLUpYNVZVajFHZzc1TUZ0NmpPNXQ3bFAtaldJdWZnWU9TY1htb3J2YmJ6T1FsekVhNHpISmpGYmstWFFnQ3drUkJCUF9rUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"今(5)日受到颱風外圍環流影響，易有短延時強降雨，高屏及台東地區有局部大雨發生的機率。而因雨勢過大，稍早經濟部水利署將台南6區域列一級淹水警戒，目前已有不少網友在臉書社團回報，水已淹至半個輪胎高。
氣象署目前針對「台南市」發布大雷雨即時訊息，持續時間至15時30分止。水利署則對新化區、新市區、永康區、安南區、東區、仁德區發布一級淹水警戒。另南區、北區、安平區、歸仁區為二級警戒。
目前已有網友在臉書社團回報淹水災情，影片中可以看到水已經淹到小腿肚，車子部分則有半個輪胎高。網友表示，「中正南路淹水了」、「長北街也淹水」、「市區多處淹水，大家注意安全！」。而根據中央氣象署資料，目前台南農改測站累積雨量已來到80毫米，屏東佳樂水也有77.5毫米。
摩羯外圍環流發威，水淹半個輪胎高。   圖：翻攝自台南大小事臉書
台南11區列一級淹水警戒。   圖：翻攝自經濟部水利署官網
目前台南農改測站累積雨量已來到80毫米，屏東佳樂水也有77.5毫米。   圖：翻攝自中央氣象署官網",Newtalk新聞,17 天前
因應強降雨影響 南市水利局三級開設,https://news.google.com/read/CBMilAJBVV95cUxPWGp4RTNVSkZuVGtHeDJDYURqazJ6ZGVncGI0aGhiYXZCb0poaFNjV1lxUjdLYS1tY0ZMVjJXU2lSRmFzTU9OT0JaRUhWTExsWnVnTWRzbU55eXZuVGExRURocnd5ak1hUHB1aTRTM01pU00ydFM4YzdaaTZJMi1iS2N0YVVkRkdBTjVIMXdXSkJvVWprNXZnRXRrLUVZZGFsRk5fX2VFakdMQ1pMd0tESURLVXFramlPTHc0aUNFT0RsVGtGQjFqZWpmLWxBbWhPaGQ4Um9rM0dMNVR2NXg5ZGVKdmJvbmNGR0dnMk9SaDlsOW1kZVlJZzNxMm56WE4yWklhR2hhTkdIY1pDZEowU3RZRWQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"
因應低壓帶及西南季風可能帶來之劇烈降雨影響，市府水利局於昨日晚間8時三級應變中心開設進駐水情中心守視天氣狀況及處置災情，並加強與各區公所之橫向聯繫，即時處置可能的積淹水狀況。
水利局表示，依據氣象署情資顯示，臺南受到西南季風影響，低壓外圍雲21日入夜後至23日白天將影響臺南地區，預測21日晚間到22日整日時段降雨強度較大，24小時降雨累積平地及山區可達150~230毫米之大雨至局部豪雨，預估週一以後低壓帶逐漸遠離降雨將會逐漸減緩。
水利局指出，昨日0時至今(22)日上午8時，南市最大累積雨量分別為關廟209毫米、歸仁187.5毫米、南化185.5毫米、龍崎143.5毫米；抽水站30站共65台運轉抽水，總抽水量834,262噸，目前全市無淹水災情。
更多新聞推薦
● 「民進黨2026會死」館長嗆讓他們市長落選 嘆：連吃飯、吹冷氣都會想到阿北很苦、很冤枉",Yahoo奇摩新聞,8 小時前
北市辦理國際研討會 外賓配合921演練趴掩穩,https://news.google.com/read/CBMisAJBVV95cUxNTzQ3RUxJWU5VeDB5QjlNQlFGN3p0TzJPY2MybWJYN0toQ25LTEVxZlJkcW5aQ3hXVW9YWGJTbXQySGxpdDZfNHdYUnF3WlJGZ3hnOTl5aFJpSzV0VlJPWS1qakpubzl1dkEzeFJHZEZtZkZsZEQxUzBSd2Y2LWlOZzlQUVdBV3dfaEdsZ3EwWkItVTBPSlNrTi1XbUhqbGFSUkk0eHA1eFFzVDU3U3VONHJEaWlnVzIxRTJUVVc2ZkdVX2g0aWZmRUF2QzhPVWxWWUR2bG9Ydkt1cGhtZFBaSzJpNGJ4VWpwMUNlNkdoa044WkFfZ3p2MFJWYzNKZ0M0LXA1aDlhSl8zQUxiRVdKcElfekFZUC1nT21IUkl2VWhlUXEzaWxIek15SGZHMVlZ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"[周刊王CTWANT] 為記取921大地震的教訓，提升應變能力，全國於20日上午9時21分，同步演練地震避難掩護，教導學生熟悉「趴下、掩護、穩住」抗震保命3步驟。
北市災害防救辦公室表示，9月19至21日適逢台北市主辦第16屆城市網災害小組研討會，國內外貴賓齊聚一堂，為讓貴賓瞭解臺灣的防災宣導教育執行方式，特別於研討會中邀請貴賓們配合交通部中央氣象署強震即時警報軟體模擬地震訊息，當9時21分防災警報響起時，一同演練「趴下、掩護、穩住」抗震保命3步驟。演練當下也特別提醒國際貴賓們重點在保護頭部、頸部避免受傷，惟有民眾平時做好防災演練，才能在緊急時刻冷靜面對！也讓國際友人們看到我們貫徹防災工作的信念。
災害防救辦公室指出，北市光能社區112年榮獲內政部績優韌性社區評鑑獲得特優獎項，20日也帶領城市網國際貴賓們至光能里做市政參訪位於台北市大同區的光能社區，其過去因地勢低窪容易淹水，因此，自2011年起，里長與社區民眾主動與市府合作，開始著手改善里內的排水系統、協助居民裝設防水閘門、並結合社區內雜貨店作為防災物資存放地點。
而自2019年起推動自主防災韌性社區，集結不分年齡層的住戶、店家們一同參與防災工作並自主辦理防震演練，以確實提升「自救、互救」的防災意識，達到永續經營目的，以防災安全為主軸的概念、行動力，在大家一起積極努力下，近10年來讓傳統的老街型態，轉型成新舊時代交替、融合的赤峰街商圈，在2023年被英國Time Out雜誌評選為2023年全球最酷40個街區的其中之一。
今年適逢921震災25週年，在回顧歷次災例的過程中，時時檢視與省思，從災難中學習改進，累積寶貴防救災經驗，並在災難發生前「防患於未然」，培養正面積極的防災態度與價值觀，以實際行動參與、預防、解決災害問題，由市民及社區共同打造安全韌性的防災城市。
原始連結
看更多 CTWANT 文章
死刑合憲！37死囚可透過檢察總長提非常上訴 邢泰釗：預擬相應措施
死刑有條件合憲！吳宗憲「37死刑犯可能重返社會 」 最高檢：將為黃春棋、陳憶隆提非常上訴
37名死囚聲請死刑釋憲 憲法法庭：有條件合憲
看更多相關新聞
6級強震暴增「創25年新高」專家：全台老屋仍有515萬戶
921地震25周年 美日駐台代表合拍影片：美日台團結更強大
防震做外交！台日菲合作串連第一島鏈防災鏈 齊聚南投消防訓練中心
921大地震25周年「教育園區免費看、宿車籠埔」防災教育向下扎根
921大震25周年 4種地震險各擅勝場",Yahoo奇摩新聞,2 天前
